rowid,date,pscis_crossing_id,my_crossing_reference,crew_members,utm_zone,easting,northing,stream_name,road_name,road_km_mark,road_tenure,crossing_type,crossing_subtype,diameter_or_span_meters,length_or_width_meters,continuous_embeddedment_yes_no,average_depth_embededdment_meters,resemble_channel_yes_no,backwatered_yes_no,percentage_backwatered,fill_depth_meters,outlet_drop_meters,outlet_pool_depth_0_01m,inlet_drop_yes_no,culvert_slope_percent,downstream_channel_width_meters,stream_slope,beaver_activity_yes_no,fish_observed_yes_no,valley_fill,habitat_value,stream_width_ratio,culvert_length_score,embed_score,outlet_drop_score,culvert_slope_score,stream_width_ratio_score,final_score,barrier_result,crossing_fix,recommended_diameter_or_span_meters,assessment_comment,source,aggregated_crossings_id,time_start,date_time_start,camera_id,site_id
,2023-09-19,8478,,AI,9,590064.8073542411,6069866.591804451,Tributary to McDonell Lake ,Dennis branch 81,,,Closed Bottom Structure,Round Culvert,1.9,12,No,,No,No,,1.5,0.2,0.25,Yes,4,3,8,No,Yes,Deep Fill,Medium,,,10,,,,,,,,"Pipe in good condition. Nice habitat, upstream and downstream. Very good flow for time of year. Dolly Varden captured.          ",,,,2023-09-19T13:30:02Z,newgraph_airvine,8478
,2023-09-19,8518,,MW ,9,605028.2935763696,6069687.168315488,White Swan Creek,Spur,,,Other,Ford,8,2,No,,No,No,,,,,No,,,,No,No,,,,,10,,,,,,,,On deactivated road ,,,,2023-09-19T17:40:20Z,MateoW,8518
,2023-09-18,8525,,MW TP VJ,9,580998.3240278855,6074681.187398516,Tributary to Coal Creek,McDonell FSR,,,Closed Bottom Structure,Round Culvert,0.9,28,No,,No,No,,2,0.5,0.2,No,1,1.4,4,No,No,Deep Fill,Medium,,,10,,,,,,,,Small flowing stream. Fish captured in minnow traps in 2022.,,,,2023-09-18T09:57:03Z,MateoW,8525
,2023-09-18,8529,,AI,9,582402.9455474799,6075419.578118809,Tributary to Coal Creek,Spur,,,Open Bottom Structure,Bridge,9,5,No,,No,No,,,,,No,,,,No,No,,,,,10,,,,,,,,Bridge. Was wooden box culvert at time of last assessment.                    ,,,,2023-09-18T15:17:59Z,,8529
,2023-09-20,8543,,MW JO RB,9,592142.053476265,6072356.542446296,Tributary to McDonnell Lake,McDonnell Lake FSR ,23,,Closed Bottom Structure,Round Culvert,1.2,14,No,,No,No,,1,0.5,0.8,No,3,1.8,5,No,No,Deep Fill,Medium,,,10,,,,,,,,"Small trickle in stream, low flow. Stream runs halfway down culvert from inlet and then flows through holes underneath culvert. Stream gets wider upstream. Fish caught in the past up and down of culvert. Deep outlet pool.",,,,2023-09-20T09:49:51Z,MateoW,8543
,2023-09-24,58067,,MW,9,609733.712758547,6092876.843676893,Gramophone Creek,Telkwa High Rd,,,Closed Bottom Structure,Oval Culvert,4.05,12.2,No,,No,No,,1.2,0.3,0.8,No,2,6.1,5,No,No,Deep Fill,High,,,10,,,,,,,,"Two pipes, one does not have flow. Wide channel upstream.",,,,2023-09-24T10:26:15Z,MateoW,58067
,2023-09-14,123377,,MW,9,641623.1405729637,6049397.337778315,Thompson Creek,Walcott Rd,,,Closed Bottom Structure,Round Culvert,2.1,28,No,,No,No,,1,0.3,0.3,No,0.5,4.1,2.5,No,No,Deep Fill,High,,,10,,,,,,,,Two pipes. Water flowing through both. Runs through Agricultural field downstream.,,,,2023-09-14T08:48:32Z,MateoW,123377
,2023-09-15,124500,,MW AI TP VJ,9,627551.057916506,6058696.795467487,Helps Creek,Lawson Rd,,,Closed Bottom Structure,Round Culvert,1.5,14.5,No,,No,No,,0.8,0,1.4,No,1,3.2,2,Yes,No,Deep Fill,Medium,,,10,,,,,,,,"Standing water, beaver grate on inlet side. Deep outlet pool. ",,,,2023-09-15T11:39:58Z,MateoW,124500
,2023-09-13,197365,,AI MW,9,643613.7822887987,6003253.466182898,Tributary to Owen,Morice-Owen,34,,Closed Bottom Structure,Round Culvert,0.9,17.5,No,,No,No,,1,0.3,0.5,No,3,1.5,3,No,No,Deep Fill,Low,,,10,,,,,,,, Stream dry at time of service. Inlet pipe is very damaged with large in the drop due to unravelling pipe. gravels upstream.,,,,2023-09-13T10:46:27Z,,197365
,2023-09-12,197640,,MW,9,654327.8641492407,6012333.617253763,Tributary to Buck Creek,Buck Flats Rd,,,Closed Bottom Structure,Round Culvert,3,12,No,,No,No,,0.7,0.6,0.9,No,1.5,4.2,3,No,No,Deep Fill,High,,,10,,,,,,,,"Other than some water in outlet pool and one small section downstream, the stream is completely dry. Very wide channel downstream, a little narrower upstream. Two pipes, some debris blocking inlet of one pipe. Crossing was in wrong place on map.",,,,2023-09-12T16:26:32Z,MateoW,197640
,2023-09-27,197949,,MW,9,614404.1111382584,6010346.404285825,Tributary to Tagit Creek,Unnamed,,,Closed Bottom Structure,Round Culvert,1.2,14,No,,No,No,,1.2,0.5,0.6,No,2,2,2,No,Yes,Deep Fill,High,,,10,,,,,,,,Numerous fish spotted in outlet pool. Low flow but water present upstream and downstream. ,,,,2023-09-27T11:10:01Z,MateoW,197949
,2023-09-27,198022,,AI,9,614702.8627595912,6009975.519000476,Tributary to Tagit Creek,R05232 17,,West Fraser Mills,Closed Bottom Structure,Round Culvert,1,14.5,No,,No,No,,2,0,0,No,2,2.8,2,Yes,Yes,Deep Fill,Medium,,,10,,,,,,,,"Moderate value habitat. Habitat confirmation conducted with stream, walked from upstream crossing down through wetland type area to culvert. Mostly dewatered besides small section above this crossing and below the upper crossing. Surveyed from upstream to down and ended up on road approximately 40 m to the north. Stream seems to merge with wetland type area just upstream of the road. Fish sampling conducted with dolly varden captured in small (2.5m2) outlet pool. 
",,,,2023-09-27T12:12:45Z,newgraph_airvine,198022
