reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,channel_width_m,channel_width_m_2,channel_width_m_3,channel_width_m_4,channel_width_m_5,channel_width_m_6,channel_width_m_7,avg_channel_width_m,method_for_channel_width,wetted_width_m,wetted_width_m_2,wetted_width_m_3,wetted_width_m_4,wetted_width_m_5,wetted_width_m_6,wetted_width_m_7,avg_wetted_width_m,method_for_wetted_width,residual_pool_depth_m,residual_pool_depth_m_2,residual_pool_depth_m_3,residual_pool_depth_m_4,residual_pool_depth_m_5,residual_pool_depth_m_6,residual_pool_depth_m_7,average_residual_pool_depth_m,method_for_residual_pool_depth,bankfull_depth_number_1_m,bankfull_depth_number_2_m,bankfull_depth_number_3_m,bankfull_depth_number_4_m,average_bankfull_depth_m,method_for_bankfull_depth,gradient_number_1_percent,gradient_number_2_percent,gradient,gradient_number_4_percent,average_gradient_percent,method_for_gradient,stage,tributaries,temperature_c,method_for_temperature,conductivity_m_s_cm,method_for_conductivity,p_h,method_for_p_h,turbidity,total_cover,small_woody_debris,large_woody_debris,boulders,undercut_banks,deep_pools,overhanging_vegetation,instream_vegetation,crown_closure,functional_lwd,lwd_distribution,instream_vegetation_type,l_bank_shape,l_bank_texture_dominant_1,l_bank_texture_dominant_2,l_bank_riparian_vegetation,l_bank_riparian_vegetation_stage,r_bank_shape,r_bank_texture_dominant_1,r_bank_texture_dominant_2,r_bank_riparian_vegetation,r_bank_riparian_vegetation_stage,bed_material_dominant,bed_material_subdominant,d95_cm,d_cm,morphology,channel_pattern,coupling,confinement,feature_type,feature_height_m,feature_length_m,feature_height_length_method,utm_zone,utm_easting,utm_northing,utm_method,comments
1,Tributary to Zymoetz River,8543_ds,00000ZYMO,0,1,2.3,2.1,1.8,3.4,3,1.9,,2.4166666666666665,metre tape,0.8,0.5,,,,,,0.65,metre tape,0.64,,,,,,,0.64,metre stick,0.4,0.4,0.5,0.7,0.5,metre stick,3,3,4,1,0.0275,clinometer,low,,,recording meter,,recording meter,,pH meter (general),clear,moderate,sub-dominant,sub-dominant,trace,sub-dominant,sub-dominant,dominant,trace,41-70%,few,evenly distributed,vascular plants,sloping,cobbles,gravels,mixed forest,initial,sloping,cobbles,gravels,mixed forest,initial,cobbles,gravels,,,,irregular meanders,Coupled,frequently confined,,,,,,,,,Site 8543_ds. Dried up stream. Slope gradually flattened out. 12:49:38
2,Tributary to McDonell Lake,8547_ds,00000ZYMO,0,2,1.9,2.3,1.9,1.8,1.8,2.1,2,1.9714285714285713,metre tape,0.2,0.6,0.7,1.2,0.8,0.3,1.1,0.7000000000000001,metre tape,0.2,0.2,0.32,0.3,0.23,,,0.25,metre stick,0.23,0.3,0.2,0.2,0.23249999999999998,metre stick,14,10,9,11,0.11,clinometer,moderate,,5.9,recording meter,113,recording meter,7.9,pH meter (general),clear,moderate,sub-dominant,dominant,sub-dominant,sub-dominant,trace,sub-dominant,trace,41-70%,abundant,evenly distributed,mosses,sloping,cobbles,boulders,coniferous forest,mature forest,sloping,cobbles,boulders,coniferous forest,mature forest,boulders,cobbles,,,step-pool,irregular meanders,Coupled,frequently confined,,,,,,,,,Site 8547_ds. Slow shallow stream with abundant lwd and over hanging veg. Shallow pools with large rocks for fish shelter.15:04:49
12,Tributary to Houston Tommy Creek,198942_us,00000MORR,0,12,2.7,1.9,1.4,1.8,1.9,1.7,,1.8999999999999997,metre tape,1.7,1.7,1.4,1.6,1.4,1.3,,1.5166666666666668,metre tape,0.4,0.5,,,,,,0.45,metre stick,0.3,0.4,,,0.35,metre stick,4,3.5,4,,0.03833333333333334,clinometer,moderate,,6.2,recording meter,147,recording meter,8.7,pH meter (general),Clear,abundant,sub-dominant,dominant,none,sub-dominant,trace,sub-dominant,trace,21-40%,few,evenly distributed,algae,V-shaped,gravels,fines,mixed forest,young forest,V-shaped,gravels,fines,mixed forest,mature forest,gravels,fines,,,riffle-pool,irregular meanders,Decoupled,unconfined,bridge,0.2,8,,9,631287,6018315,,"Site 198942_us. Small channel with moderate flow. Medium habitat value. Gravels are the predominant substrate in the stream and there are many suitable areas for spawning. Very few deep pools therefore not ideal for fish overwintering. The stream forks approximately 200m upstream of the culvert but the channel size remains the same.  There is a big cutblock 50m north of stream,  and a small bridge from the cut block spans the stream near end of survey. Undercut banks are present in most sections of stream. 10:44:37"
13,Tributary to Houston Tommy Creek,198934_ds,00000MORR,0,13,2.4,2.9,3.7,3.6,3.4,3.4,,3.233333333333333,metre tape,2.2,2.2,2.1,2,1.9,2.1,,2.0833333333333335,metre tape,0.5,0.4,,,,,,0.45,metre stick,0.4,,,,0.4,metre stick,4,2,2,,0.026666666666666665,clinometer,moderate,,6,recording meter,147,recording meter,8.7,pH meter (general),Clear,moderate,sub-dominant,dominant,trace,sub-dominant,trace,sub-dominant,none,1-20%,abundant,clumped,Vascular plants,sloping,cobbles,gravels,mixed forest,mature forest,V-shaped,cobbles,gravels,mixed forest,mature forest,cobbles,gravels,,,riffle-pool,irregular meanders,Partially Coupled,unconfined,,,,,,,,,Site 198934_ds. High habitat value. Wide channel with good flow and abundant cover. Few areas with gravel patches suitable for spawning. A lot of woody debris protruding into the bankfull channel and adding complexity. Some areas with deep pools suitable for overwintering. Fish spotted in deep outlet pool of culvert. 12:48:01
23,Tributary to McDonell Lake,8478_us,00000ZYMO,0,23,2.3,2.3,2.7,3.2,2,2,3,2.5,metre tape,2.2,1.2,2,1.7,1.4,1.7,2.6,1.8285714285714285,metre tape,0.4,0.4,0.6,,,,,0.4666666666666666,metre stick,0.35,0.3,0.5,,0.3833333333333333,metre stick,10,9,11,,0.1,clinometer,high,,4.9,recording meter,94,recording meter,7.4,pH meter (general),clear,moderate,sub-dominant,dominant,sub-dominant,trace,trace,trace,none,1-20%,abundant,clumped,none,sloping,gravels,cobbles,coniferous forest,mature forest,sloping,cobbles,gravels,coniferous forest,mature forest,cobbles,gravels,,,cascade-pool,irregular meanders,Partially Coupled,occasionally confined,,,,,,,,,Site 8478_us. Steep system with high flow and periodic cascades (<1m in height). Few deep pools and areas with suitable spawning gravels. Approximately 400m upstream of FSR steam gradients increase to 20% which likely indicates upstream limit of fish distribution.  Dolly varden captured with some fish showing deteriorating purple gill plates and unusual round black spots.  14:25:27
24,Tributary to McDonell Lake,8547_us,00000ZYMO,0,24,3.1,1.8,1.8,1.6,1.5,1.6,,1.9000000000000001,metre tape,0.6,1.2,1,1.8,1.6,0.9,,1.1833333333333333,metre tape,0.4,0.5,,,,,,0.45,metre stick,0.4,0.5,,,0.45,metre stick,10,3.5,5,4,0.05625,clinometer,moderate,,4.9,recording meter,94,recording meter,8.1,pH meter (general),clear,moderate,dominant,sub-dominant,none,sub-dominant,none,sub-dominant,none,1-20%,few,clumped,none,sloping,cobbles,gravels,mixed forest,mature forest,undercut,cobbles,gravels,mixed forest,young forest,cobbles,gravels,,,riffle-pool,irregular meanders,Decoupled,unconfined,,,,,,,,,"Site 8547_us. Moderate flowing stream, small channel. Very few areas with good spawning gravels. Few deep pools. Abundant undercut banks providing cover for fish. Woody debris is frequent and often functional and adding complexity. Moderately steep stream but no barriers present. Small fry spotted approx 100m upstream of culvert. 10:41:30"
43,Tributary to Tagit Creek,197949_us,00000MORR,0,43,2,2.1,2.5,2.6,2.3,2.2,,2.283333333333333,metre tape,0.7,1.1,1.7,,0.9,0.8,,1.04,metre tape,0.4,,,,,,,0.4,metre stick,0.3,0.25,,,0.275,metre stick,3,7,9,8,0.0675,clinometer,low,,7.6,recording meter,112,recording meter,7.5,pH meter (general),clear,abundant,sub-dominant,sub-dominant,trace,trace,trace,dominant,none,1-20%,few,evenly distributed,none,sloping,gravels,cobbles,mixed forest,pole-sapling,undercut,gravels,cobbles,mixed forest,pole-sapling,cobbles,gravels,,,riffle-pool,irregular meanders,Decoupled,occasionally confined,,,,,,,,,"Site 197949_us. Riparian vegetation consists of mostly deciduous young saplings. Some older vegetation (alder) present as well creating abundant overhang. Small channel with low flow. Water present throughout 90% of survey, occasional dewatered patches. Fish spotted approximately 500m upstream of culvert (est. 8cm length). Some areas with gravels. Occasional undercut banks. Very few deep pools at time of survey. Gradual slope that stays around 8% throughout surveyed length.11:21:38"
44,Tributary to Tagit Creek,198022_ds,00000MORR,0,44,2.2,2,1.2,1.6,1.8,,,1.7600000000000002,metre tape,1.2,0,0,0,0,,,0.24,metre tape,,,,,,,,,metre stick,0.4,,,,0.4,metre stick,2,4,,,0.03,clinometer,low,,6.5,recording meter,267,recording meter,6.9,pH meter (general),clear,moderate,sub-dominant,dominant,trace,trace,none,sub-dominant,none,1-20%,few,evenly distributed,vascular plants,V-shaped,cobbles,,deciduous forest,mature forest,sloping,cobbles,,mixed forest,mature forest,cobbles,gravels,,,riffle-pool,regular meanders,Decoupled,frequently confined,dewatering,,150,,9,614883,6009868,,Site 198022_ds. Water present in sporadic pools and brief stretches first 100m. Stream dewaters approx 100m downstream of culvert (waypoint 273). Small channel with some gravels present. Cobbles are the predominant stream substrate. Stream flows through steep confined valley. Water flowing in Tagit Creek at confluence. Massive downed trees creating a log jam directly at confluence. 13:31:33
52,Tributary to Houston Tommy Creek,198934_us,00000MORR,0,52,3.2,2.6,2.6,3.4,2.8,4.6,3.9,3.3000000000000003,metre tape,1.9,1,1.4,1.9,1.6,2.6,1.4,1.6857142857142855,metre tape,0.5,0.45,0.5,0.45,0.5,,,0.48,metre stick,0.45,0.4,0.5,,0.45,metre stick,5,7,6,4,0.055,clinometer,low,,6,recording meter,147,recording meter,8.7,pH meter (general),Clear,moderate,sub-dominant,sub-dominant,sub-dominant,trace,dominant,sub-dominant,none,21-40%,few,clumped,mosses,sloping,cobbles,gravels,coniferous forest,mature forest,sloping,cobbles,gravels,coniferous forest,mature forest,cobbles,gravels,,,step-pool,sinuous,Partially Coupled,confined,landslide or bank sloughing,30,30,,9,631697,6017428,,Site 198934_us. Moderate value habitat. Approximately 30 m high and 30 m long landslide at edge of clear cut on left bank 300m downstream of top road. Below the landslide sediments have led to sub surface flows with isolated deep pools for a section approximately 300m long.  Abundant gravels throughout. Sparse pools but likely deep enough for overwintering. Fish observed at culvert outlet at top end of site.       10:47:07
53,Tributary to Coal Creek,8525_ds,00000ZYMO,0,53,1.8,1.9,1.9,1.8,1.7,1.5,,1.7666666666666666,metre tape,1.4,1.9,1.6,1.5,1.7,0.8,,1.4833333333333334,metre tape,0.2,,,,,,,0.2,metre stick,0.3,0.3,0.3,,0.3,metre stick,4,5,9.5,,0.06166666666666667,clinometer,low,,6.7,recording meter,133,recording meter,7.7,pH meter (general),clear,moderate,sub-dominant,sub-dominant,none,dominant,trace,sub-dominant,trace,21-40%,few,evenly distributed,mosses,undercut,fines,,coniferous forest,mature forest,sloping,gravels,,coniferous forest,mature forest,gravels,cobbles,,,cascade-pool,sinuous,Partially Coupled,confined,,,,,,,,,Site 8525_ds. Moderate value habitat. Low flow conditions with numerous areas dewatered but generally stream is running throughout area surveyed. Very limited deep pools with depths only to approximately 20 cm. Abundant gravel throughout. Dolly Varden and rainbow captured. Good flow for this time of year on a very dry year.  Waypoint 296. 11:24:38
