reference_number,local_name,method_number,comments_step2
3,197378_ds_ef1,1,Site 197378_ds_ef1. Fished section in outlet pool. Deep and wide section. Undercut banks on both sides. 12:12:24 
3,197378_ds_ef1,1,Site 197378_ds_ef1. Fished section in outlet pool. Deep and wide section. Undercut banks on both sides. 12:12:24 
4,197378_us_ef1,1,Site 197378_us_ef1. Wetland type area with wide channel and grassy habitat. Some fish caught. 13:37:09 
4,197378_us_ef1,1,Site 197378_us_ef1. Wetland type area with wide channel and grassy habitat. Some fish caught. 13:37:09 
5,197360_ds_ef1,1,"Site 197360_ds_ef1. Turbid, murky pool with abundant small and large woody debris. Difficult fishing conditions. Fished the lower end of culvert outlet pool. Stream was watered only at outlet and occasional pools, otherwise channel was dry. 15:09:08 "
6,197360_us_ef1,1,"Site 197360_us_ef1. Lots of green algae in creek, possibly cow poo. Wetted channel starts out wide and narrows farther up. Some undercut present. Shallow stream. 16:05:22 "
7,123377_us_ef1,1,Site 123377_us_ef1. Wide deep pool downstream of lwd debris jam.  Many fish caught. Approximately 20m from inlet of culvert. 10:01:35 
7,123377_us_ef1,1,Site 123377_us_ef1. Wide deep pool downstream of lwd debris jam.  Many fish caught. Approximately 20m from inlet of culvert. 10:01:35 
7,123377_us_ef1,1,Site 123377_us_ef1. Wide deep pool downstream of lwd debris jam.  Many fish caught. Approximately 20m from inlet of culvert. 10:01:35 
7,123377_us_ef1,1,Site 123377_us_ef1. Wide deep pool downstream of lwd debris jam.  Many fish caught. Approximately 20m from inlet of culvert. 10:01:35 
8,123377_us_ef2,1,"Site 123377_us_ef2. Shallow, riffle pool habitat. Some fish caught hiding in stream substrate. Little to no cover or woody debris in stream.11:04:26 "
8,123377_us_ef2,1,"Site 123377_us_ef2. Shallow, riffle pool habitat. Some fish caught hiding in stream substrate. Little to no cover or woody debris in stream.11:04:26 "
8,123377_us_ef2,1,"Site 123377_us_ef2. Shallow, riffle pool habitat. Some fish caught hiding in stream substrate. Little to no cover or woody debris in stream.11:04:26 "
9,123377_us_ef3,1,Site 123377_us_ef3. Small pool by debris jam at bottom end of site where most fish were caught. Rest of site consists of shallow glide. Lightly turbid water conditions.11:39:43 
9,123377_us_ef3,1,Site 123377_us_ef3. Small pool by debris jam at bottom end of site where most fish were caught. Rest of site consists of shallow glide. Lightly turbid water conditions.11:39:43 
9,123377_us_ef3,1,Site 123377_us_ef3. Small pool by debris jam at bottom end of site where most fish were caught. Rest of site consists of shallow glide. Lightly turbid water conditions.11:39:43 
10,123377_ds_ef1,1,Site 123377_ds_ef1. Glide habitat with abundant boulder cover and cobble stream substrate.13:38:14 
10,123377_ds_ef1,1,Site 123377_ds_ef1. Glide habitat with abundant boulder cover and cobble stream substrate.13:38:14 
10,123377_ds_ef1,1,Site 123377_ds_ef1. Glide habitat with abundant boulder cover and cobble stream substrate.13:38:14 
11,123377_ds_ef2,1,Site 123377_ds_ef2. Small pool at top end of site.14:34:02 
11,123377_ds_ef2,1,Site 123377_ds_ef2. Small pool at top end of site.14:34:02 
14,8525_ds_ef1,1,Site 8525_ds_ef1. Shallow pool habitat. Some functional large woody debris at the end of the site. Stream is moderately turbid and visibility is relatively low. 11:09:56 
14,8525_ds_ef1,1,Site 8525_ds_ef1. Shallow pool habitat. Some functional large woody debris at the end of the site. Stream is moderately turbid and visibility is relatively low. 11:09:56 
15,8525_ds_ef2,1,Site 8525_ds_ef2. Fished one section at bottom of site and one pool under log at top end of site. Middle section was very small and not fishable.12:15:17 
16,8525_ds_ef3,1,Site 8525_ds_ef3. Sampled from ~15m downstream of culvert up to the outlet pool. Two fish were caught in the outlet pool. Very small channel downstream. Moderate turbidity so hard to see fish.12:51:52 
17,8525_us_ef1,1,"Site 8525_us_ef1. Fished 4m squared pool at bottom end of site. Stream is very narrow upstream of pool. Another shallow pool under large woody debris was fished upstream, approx 3m squared. A final small 3m squared section near woody debris was fished approx 20n upstream. 14:09:44 "
18,8525_us_ef2,1,Site 8525_us_ef2. NA15:52:11 
18,8525_us_ef2,1,Site 8525_us_ef2. NA15:52:11 
